model,threshold,precision,recall,f1
vision_expert,0.1,0.20689655172413793,0.8,0.3287671232876712
vision_expert,0.15000000000000002,0.2608695652173913,0.8,0.39344262295081966
vision_expert,0.2,0.3333333333333333,0.7333333333333333,0.45833333333333326
vision_expert,0.25,0.34615384615384615,0.6,0.43902439024390244
vision_expert,0.30000000000000004,0.38095238095238093,0.5333333333333333,0.4444444444444444
vision_expert,0.35,0.4375,0.4666666666666667,0.45161290322580644
vision_expert,0.4,0.3333333333333333,0.26666666666666666,0.2962962962962963
vision_expert,0.45000000000000007,0.3,0.2,0.24
vision_expert,0.5,0.3333333333333333,0.2,0.25
vision_expert,0.55,0.4,0.13333333333333333,0.2
vision_expert,0.6,0.3333333333333333,0.06666666666666667,0.1111111111111111
vision_expert,0.65,0.3333333333333333,0.06666666666666667,0.1111111111111111
vision_expert,0.7000000000000001,0.5,0.06666666666666667,0.11764705882352941
vision_expert,0.75,1.0,0.06666666666666667,0.125
vision_expert,0.8,1.0,0.06666666666666667,0.125
vision_expert,0.85,1.0,0.06666666666666667,0.125
vision_expert,0.9,1.0,0.06666666666666667,0.125
